Pos/x,Pos/y,Pos/z,Node/id
2931.0,616.0,3406.0,0
2470.0,4814.0,85.0,1
690.0,9137.0,7351.0,2
1945.0,2884.0,4685.0,3
3545.0,6784.0,4129.0,4
3365.0,5308.0,8388.0,5
3812.0,9072.0,2741.0,6
3831.0,6.0,3086.0,7
5441.0,7806.0,4560.0,8
832.0,4093.0,3116.0,9
3290.0,1882.0,8951.0,10
8349.0,4287.0,2295.0,11
1273.0,9027.0,3677.0,12
6281.0,9092.0,573.0,13
4377.0,7407.0,4091.0,14
6562.0,2778.0,9570.0,15
8613.0,8525.0,65.0,16
13.0,256.0,1726.0,17
651.0,7090.0,2083.0,18
4935.0,7970.0,2815.0,19
1644.0,624.0,1115.0,20
653.0,4624.0,281.0,21
8393.0,3621.0,4679.0,22
6262.0,956.0,3532.0,23
9740.0,6051.0,4030.0,24
1276.0,1036.0,1548.0,25
5553.0,5362.0,9179.0,26
7478.0,8385.0,2147.0,27
4898.0,3540.0,4200.0,28
8884.0,739.0,2398.0,29
4418.0,3295.0,1307.0,30
5269.0,6978.0,709.0,31
1453.0,3776.0,7454.0,32
8176.0,8532.0,5745.0,33
1831.0,5006.0,6532.0,34
555.0,1706.0,1611.0,35
9640.0,7021.0,2550.0,36
948.0,4286.0,1317.0,37
1323.0,8196.0,8064.0,38
8832.0,5554.0,6096.0,39
8397.0,5366.0,6657.0,40
278.0,1466.0,7810.0,41
3902.0,9358.0,7171.0,42
9665.0,9826.0,4977.0,43
3521.0,2981.0,5668.0,44
2160.0,5555.0,6209.0,45
4765.0,172.0,2858.0,46
1344.0,5189.0,4499.0,47
9725.0,7665.0,7241.0,48
5683.0,4060.0,6478.0,49
1108.0,7025.0,6262.0,50
2356.0,5248.0,2604.0,51
6812.0,6082.0,636.0,52
8555.0,1697.0,3861.0,53
5796.0,7463.0,5795.0,54
3689.0,4446.0,6786.0,55
9196.0,6101.0,2475.0,56
4271.0,3351.0,3134.0,57
5519.0,1955.0,8562.0,58
2289.0,3206.0,7395.0,59
7816.0,3861.0,2323.0,60
8731.0,3951.0,5964.0,61
4131.0,7785.0,5635.0,62
5595.0,4395.0,506.0,63
9172.0,6266.0,9636.0,64
5812.0,7631.0,3421.0,65
6767.0,8936.0,8913.0,66
3128.0,7444.0,6012.0,67
4411.0,1379.0,1908.0,68
1989.0,9071.0,632.0,69
5291.0,5920.0,5395.0,70
7582.0,8598.0,8983.0,71
8728.0,8838.0,4021.0,72
630.0,3108.0,3559.0,73
9646.0,5475.0,1168.0,74
5273.0,9110.0,4915.0,75
5313.0,5648.0,7731.0,76
1359.0,2393.0,3815.0,77
9584.0,2130.0,2173.0,78
1785.0,4134.0,2310.0,79
3646.0,373.0,4755.0,80
911.0,5772.0,1521.0,81
2452.0,6346.0,8432.0,82
6276.0,8450.0,8711.0,83
6450.0,6812.0,180.0,84
8390.0,8421.0,5668.0,85
7521.0,9388.0,7819.0,86
9298.0,9314.0,8084.0,87
7553.0,3020.0,2054.0,88
3703.0,1327.0,4755.0,89
7178.0,9630.0,2859.0,90
